year,list_position,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,name,duration_ms,release_date,album_type,explicit
2003-12-20,1,2PpruBYCo4H7WOBJ7Q2EwM,0.727,0.974,4.0,-2.261,0.0,0.0664,0.103,0.000532,0.174,0.965,79.526,4.0,Hey Ya!,235213,2003,album,False
2003-12-27,1,2PpruBYCo4H7WOBJ7Q2EwM,0.727,0.974,4.0,-2.261,0.0,0.0664,0.103,0.000532,0.174,0.965,79.526,4.0,Hey Ya!,235213,2003,album,False
2004-01-03,1,2PpruBYCo4H7WOBJ7Q2EwM,0.727,0.974,4.0,-2.261,0.0,0.0664,0.103,0.000532,0.174,0.965,79.526,4.0,Hey Ya!,235213,2003,album,False
2004-01-10,1,2PpruBYCo4H7WOBJ7Q2EwM,0.727,0.974,4.0,-2.261,0.0,0.0664,0.103,0.000532,0.174,0.965,79.526,4.0,Hey Ya!,235213,2003,album,False
2004-01-17,1,2PpruBYCo4H7WOBJ7Q2EwM,0.727,0.974,4.0,-2.261,0.0,0.0664,0.103,0.000532,0.174,0.965,79.526,4.0,Hey Ya!,235213,2003,album,False
2004-01-24,1,2PpruBYCo4H7WOBJ7Q2EwM,0.727,0.974,4.0,-2.261,0.0,0.0664,0.103,0.000532,0.174,0.965,79.526,4.0,Hey Ya!,235213,2003,album,False
2004-01-31,1,2PpruBYCo4H7WOBJ7Q2EwM,0.727,0.974,4.0,-2.261,0.0,0.0664,0.103,0.000532,0.174,0.965,79.526,4.0,Hey Ya!,235213,2003,album,False
2004-02-07,1,2PpruBYCo4H7WOBJ7Q2EwM,0.727,0.974,4.0,-2.261,0.0,0.0664,0.103,0.000532,0.174,0.965,79.526,4.0,Hey Ya!,235213,2003,album,False
2008-08-23,1,2VOomzT6VavJOGBeySqaMc,0.707,0.814,11.0,-4.509,0.0,0.0577,0.0861,0.0,0.168,0.717,124.921,4.0,Disturbia,238626,2008-06-02,album,False
2008-08-30,1,2VOomzT6VavJOGBeySqaMc,0.707,0.814,11.0,-4.509,0.0,0.0577,0.0861,0.0,0.168,0.717,124.921,4.0,Disturbia,238626,2008-06-02,album,False
2019-03-09,1,2VxeLyX666F8uXCJ0dZF8B,0.577,0.385,7.0,-6.362,1.0,0.03,0.371,0.0,0.231,0.331,95.82,4.0,Shallow,215733,2018-10-05,album,False
2019-06-22,1,2YpeDb67231RjR0MgVLzsG,0.878,0.619,6.0,-5.56,1.0,0.102,0.0533,0.0,0.113,0.639,136.041,4.0,Old Town Road - Remix,157066,2019-06-21,single,False
2019-06-29,1,2YpeDb67231RjR0MgVLzsG,0.878,0.619,6.0,-5.56,1.0,0.102,0.0533,0.0,0.113,0.639,136.041,4.0,Old Town Road - Remix,157066,2019-06-21,single,False
2019-07-06,1,2YpeDb67231RjR0MgVLzsG,0.878,0.619,6.0,-5.56,1.0,0.102,0.0533,0.0,0.113,0.639,136.041,4.0,Old Town Road - Remix,157066,2019-06-21,single,False
2019-07-13,1,2YpeDb67231RjR0MgVLzsG,0.878,0.619,6.0,-5.56,1.0,0.102,0.0533,0.0,0.113,0.639,136.041,4.0,Old Town Road - Remix,157066,2019-06-21,single,False
